gene,Ctl,LT,log2FC_LT,p_LT,n_LT,LT_B,log2FC_LT_B,p_LT_B,n_LT_B,IL33,log2FC_IL33,p_IL33,n_IL33,IgE,log2FC_IgE,p_IgE,n_IgE
IL13,0.7427298561336922,0.9115848050415573,0.19616233659821045,0.7950615752412016,4,130.09640228535878,5.928057446502677,0.008039672728506291,4,8122.659955706895,11.453617765874021,0.001470054327812927,4,313.05261146234875,7.620217818868156,8.85774309737574e-05,4
CSF2,7.8281011695259695,12.470574463052298,0.7668694263894295,0.14437605203061815,4,199.30930690135676,4.674128421575929,0.0012844634686720808,4,21633.15372737323,11.196680292353824,0.0005620298036974707,4,12940.272100916623,10.594034068074695,6.900989541959312e-05,4
PTGS2,4584.20499730181,5183.785641269572,0.18773608568788203,0.21292335583489994,4,4851.474435923785,0.10469085424174082,0.7949803064725459,4,75229.00485184576,4.094190333681683,0.00514326078604171,4,29493.947132286652,2.559789650714588,0.04297671453066307,4
IL1RL1,13328.037683360739,14622.994306928596,0.14213027083274796,0.023599809651142507,4,14562.31723246525,0.16793792729469487,0.3008100190924502,4,45713.1040485914,1.8078706004218295,0.0016073427919356597,4,23206.746669437176,0.8096899586056301,0.114282486249,4
ACTB,75181.13199964707,79570.6104580123,0.07868848115703864,0.01868538930965707,4,142187.62766034176,0.921723503746933,0.0012658548918311832,4,100747.11984337875,0.41845498455189156,0.10861082822969727,4,170013.460236731,1.174830670158982,0.012706243911509851,4
GAPDH,25617.654574385473,30406.228258715222,0.26430714077263484,0.034597807942463234,4,27836.907677238527,0.11446057030449475,0.29273287841591045,4,23945.862661986124,-0.07137443953974994,0.16658094342480922,4,42786.604068009896,0.8895658603108686,0.05034143539390527,4
B2M,93046.63629407607,87382.4006850092,-0.08987688639795613,0.05126191711375868,4,364638.41523108573,1.9819583140592374,2.7560551051990317e-05,4,146937.7844921525,0.6315915350337407,0.005584625053897581,4,103191.36778237676,0.1488999388671425,0.30203145074646853,4
RPL13A,19124.23697475832,18374.3550255175,-0.05716103994246877,0.217413729074702,4,21137.617791179626,0.14299443189795744,0.018725109125609506,4,18508.232858205123,-0.052026373210758876,0.27845564506229276,4,18302.450752840723,-0.0618328149874278,0.12203671210262632,4
TMSB4X,59424.11226943428,57667.32595584075,-0.045641914757819826,0.16403543183626937,4,70129.64193338447,0.23937628574777348,0.0034756768191281933,4,87387.62702101463,0.545779339020272,0.01155343738578286,4,67878.09332066445,0.1884143280854131,0.11821893528305377,4
TPSAB1,675753.110086979,648116.5069602593,-0.041053468864805494,0.6057410757464438,4,657243.369359504,-0.02133881500975041,0.7270434287167207,4,703745.560112027,0.06244222728505544,0.36969515857189267,4,599236.0730674225,-0.15661147792064534,0.047822700366256965,4
TPSB2,591293.8042137218,563537.1898896497,-0.038649164655361216,0.6331222605208142,4,569444.7954961965,-0.027337550542527386,0.6596945269548781,4,612681.4398052577,0.06383032456341795,0.30804748791879344,4,522376.5965087892,-0.15585988723653163,0.04500178803556514,4
CPA3,410405.29712562176,399623.48741466994,-0.0423180291828633,0.4637249057759089,4,288516.76025618904,-0.5079778095736105,0.0018978500517978251,4,329274.366354428,-0.3214116417791453,0.00259333448174902,4,339170.58708029974,-0.2880455665166691,0.03316608263169268,4
KIT,146957.84205127502,143782.96295827924,-0.02589454647004688,0.6070979725908422,4,138698.81977204,-0.07587765713198115,0.45145573550892115,4,150366.2939788915,0.03417253785394506,0.7004020844034609,4,46834.10105037938,-1.70310475074733,0.0035530601829555013,4
MS4A2,86023.01079616722,80987.68016616348,-0.09093464987736428,0.13429549867387228,4,43358.65940985593,-1.018735899680981,0.007774821778704792,4,45147.54550055087,-0.9429620882482412,0.004192114289382745,4,33274.30497187675,-1.3764970095738045,0.00034939707311656157,4
