gene,total,log2FC,p_perm
BIRC6,138,0.9734534293378211,0.0026664511958629606
ERGIC1,79,1.1444509868037285,0.002828054298642534
MAFK,92,1.8632119855923455,0.0029088558500323207
TNFRSF12A,79,2.3214654130323606,0.003070458952811894
SMIM10,67,-1.3916019134364808,0.0031512605042016808
HDGF,194,1.1255035000395444,0.003312863606981254
RDX,148,1.451158344752323,0.003393665158371041
RAB5A,133,1.2845084753428704,0.003393665158371041
SEC24A,131,1.7323368827316545,0.003393665158371041
SS18L2,204,-0.8725050623766025,0.003474466709760827
PARL,153,-1.4611428466895564,0.003555268261150614
NUS1,101,1.5267843210098673,0.003555268261150614
RP11-553L6.5,55,1.3880080181382186,0.003555268261150614
POM121C,60,-0.9286299370939336,0.003636069812540401
FMNL3,57,1.4429744773561477,0.003636069812540401
PPM1A,166,1.4990393305269623,0.003636069812540401
CYTH3,88,2.102386927237186,0.0037168713639301873
FER,200,1.1737317805357452,0.0037168713639301873
NUP58,111,0.9989222275192291,0.0037168713639301873
RUNX1,67,1.6901921777271658,0.003797672915319974
PUM2,107,1.0864453833681644,0.003797672915319974
TMEM255B,74,1.841058843353794,0.003797672915319974
MUM1,167,-1.2618340384661484,0.003878474466709761
DERL1,181,1.1977257798460783,0.003878474466709761
SLC39A7,148,1.1986940315877166,0.003959276018099547
CISD2,144,1.2774248520731497,0.003959276018099547
GDI1,76,1.5718722105384049,0.003959276018099547
EPG5,58,1.1534678601611636,0.003959276018099547
C1orf122,113,1.1726020271178799,0.004040077569489335
C3orf38,75,-1.056776824534677,0.004040077569489335
HLA-DRA,216,2.0308651200219843,0.004040077569489335
CDK17,100,1.1392048172377713,0.004120879120879121
YY1AP1,87,1.5197209284873008,0.004120879120879121
ERF,102,1.7634498115243025,0.004201680672268907
LRP10,81,1.409397513581302,0.004201680672268907
ANAPC13,197,-0.8396312383261377,0.004282482223658695
PATL1,75,-1.056776824534677,0.004282482223658695
BIK,82,2.3769605256240647,0.0044440853264382674
CHMP1A,80,1.3901612947183848,0.004605688429217841
PTGER4,216,-0.6566449447821929,0.004605688429217841
NOTCH2,91,1.36542133307098,0.0046864899806076275
IRAK1,62,1.5718722105384049,0.004767291531997415
LDLR,65,2.5381890842821155,0.004767291531997415
TEX30,78,1.1244132335671833,0.004848093083387201
NCK1,101,0.9948149079025967,0.005009696186166775
ST8SIA4,61,-0.8950773773829074,0.005090497737556561
C11orf24,97,0.9303261814508831,0.005171299288946348
TMEM220,127,-0.8026922281986606,0.005171299288946348
SLC35B2,71,-0.7996189850375508,0.005171299288946348
DOCK2,175,0.71663076559959,0.005171299288946348
TXLNA,60,1.5216864533701882,0.005171299288946348
EHD4,109,1.1157396901622023,0.005252100840336135
IFI27L1,57,1.8322618951166352,0.005252100840336135
CAMK1D,103,1.5569989340568748,0.005413703943115708
PARP1,218,1.2262752097574114,0.005575307045895281
UHRF1BP1L,56,1.8055445567408568,0.005575307045895281
KIAA1191,71,0.9757691522120494,0.005575307045895281
NFE2L3,83,2.0143904462393554,0.005575307045895281
GAS7,185,0.9654086406063263,0.005736910148674854
KHSRP,112,1.013206453525478,0.005979314802844214
CPNE1,131,0.8899684438347402,0.005979314802844214
UBE2J1,116,1.2138246898443925,0.005979314802844214
ARHGEF12,217,0.9906041933749925,0.0060601163542340014
MCUR1,190,1.1809413280306102,0.0060601163542340014
UBR5,90,1.3482461892628457,0.006140917905623788
ROCK2,89,1.5546970667302733,0.006383322559793148
PTPN22,89,1.3308641110346109,0.006464124111182934
PTRH2,118,-0.8362125280986693,0.006464124111182934
DYNC1H1,156,0.9614646932597862,0.0065449256625727216
SPATA13,85,1.2591626456804208,0.0065449256625727216
PLK2,110,-1.2154449582826543,0.006625727213962508
LUM,55,2.2909713839110974,0.006625727213962508
SLA,76,1.8814165809699344,0.006625727213962508
RALA,172,1.1170572199714799,0.006706528765352294
OGT,154,1.51277746301599,0.006706528765352294
SEC14L1,82,1.003138171609138,0.006787330316742082
PIM1,132,1.7439715832150557,0.006868131868131868
SMC2,72,1.2262752097574114,0.006868131868131868
SMIM13,86,1.501909652370839,0.006868131868131868
CFAP36,220,-0.5522959671455759,0.006948933419521654
DCAF6,57,1.1262463914261394,0.007110536522301228
MAP1LC3A,102,0.8635703746243436,0.0071913380736910145
CCNT2,70,0.95322658356096,0.007272139625080802
KAT6A,120,1.424404878874033,0.007514544279250162
MFHAS1,65,1.065810537564167,0.007514544279250162
PDE4A,131,0.7814223266647178,0.007595345830639948
