gene,log2FC,p_perm,empirical_p
RELA,2.0975005718771587,0.0003232062055591467,0.007237984944991315
CMSS1,1.686692612540265,0.0003232062055591467,0.007237984944991315
APOLD1,3.1861290180535984,0.0004040077569489334,0.009264620729588882
PHF6,1.392004405848515,0.0004040077569489334,0.009264620729588882
MAP7D1,2.0630525649389444,0.0004040077569489334,0.009264620729588882
PMPCB,-1.6121692933646028,0.0004040077569489334,0.009264620729588882
HYOU1,2.8256288027841876,0.0004848093083387201,0.010422698320787493
SLC26A2,1.6504056130850961,0.0004848093083387201,0.010422698320787493
TMX4,1.0413574938396266,0.0004848093083387201,0.010422698320787493
PNRC2,-0.8832017498618975,0.0004848093083387201,0.010422698320787493
ILF3-AS1,-1.2975436796514501,0.0004848093083387201,0.010422698320787493
TNIP1,1.8162909382048513,0.0004848093083387201,0.010422698320787493
PCNXL4,1.8145054243124799,0.0005656108597285068,0.012159814707585408
RAF1,1.5267843210098673,0.0005656108597285068,0.012159814707585408
NBEAL2,1.2690248572167502,0.0005656108597285068,0.012159814707585408
SCYL2,1.631169394222179,0.0005656108597285068,0.012159814707585408
TMF1,1.2574909247043926,0.0005656108597285068,0.012159814707585408
AMZ2,-0.8283344838146433,0.0006464124111182935,0.01360741169658367
PAICS,1.3545153790992566,0.0006464124111182935,0.01360741169658367
TMEM251,-1.2032648748802866,0.0006464124111182935,0.01360741169658367
PEA15,2.560731652933205,0.0007272139625080802,0.01447596988998263
FYN,1.9475354714831046,0.0007272139625080802,0.01447596988998263
SEPT1,-1.3827509958542161,0.0007272139625080802,0.01447596988998263
TAOK1,1.550577432175179,0.0008080155138978668,0.015344528083381586
ITGAM,0.7726543379191408,0.0008080155138978668,0.015344528083381586
CBX4,-1.2376392067501565,0.0008080155138978668,0.015344528083381586
RAD9A,-1.2354827115191995,0.0008888170652876535,0.016213086276780544
ATP8B4,5.128820335089965,0.0008888170652876535,0.016213086276780544
CASP2,1.9095676212840857,0.0008888170652876535,0.016213086276780544
ACTR1A,1.1392048172377713,0.0009696186166774402,0.017081644470179503
LY96,1.4060214706033527,0.0009696186166774402,0.017081644470179503
SDF2,-0.9490836777355302,0.0009696186166774402,0.017081644470179503
FHL1,1.1642142416251582,0.0009696186166774402,0.017081644470179503
AHSA2,-1.5204472858942788,0.0010504201680672268,0.01823972206137811
ENDOD1,1.4838757295405773,0.0010504201680672268,0.01823972206137811
IARS,2.560731652933205,0.0010504201680672268,0.01823972206137811
EXOC6B,1.3545153790992566,0.0012120232708468003,0.01910828025477707
RBM6,1.5718722105384075,0.0012120232708468003,0.01910828025477707
ABCC1,1.920676011417163,0.0012120232708468003,0.01910828025477707
HAUS6,1.7995395739155284,0.001292824822236587,0.019976838448176028
HMGA1,1.7178872341438602,0.001292824822236587,0.019976838448176028
GOLPH3,1.003138171609138,0.0013736263736263737,0.020555877243775333
MFI2,1.4006855605321817,0.0013736263736263737,0.020555877243775333
HSBP1L1,-1.0622942881835216,0.0014544279250161603,0.02113491603937464
SMAD2,1.3678583185168134,0.0014544279250161603,0.02113491603937464
TPM1,2.3439202638600567,0.0014544279250161603,0.02113491603937464
EXOSC4,1.5888452891421203,0.0014544279250161603,0.02113491603937464
SRA1,0.781880907419022,0.0014544279250161603,0.02113491603937464
USP3,1.166393539684406,0.0014544279250161603,0.02113491603937464
TSPYL4,-1.2074229283139277,0.001535229476405947,0.022872032426172553
C6orf106,1.6440219962942406,0.001535229476405947,0.022872032426172553
DENND4A,1.3422239731991579,0.001535229476405947,0.022872032426172553
NOC2L,-1.243026232187601,0.0016160310277957336,0.02374059061957151
CAMSAP1,1.154886439470041,0.0016968325791855204,0.024030110017371164
DOT1L,2.3024823096647893,0.0016968325791855204,0.024030110017371164
XIAP,1.1520843117061568,0.0016968325791855204,0.024030110017371164
UPP1,1.5950485329044997,0.0016968325791855204,0.024030110017371164
SLC25A38,-0.7459131821746471,0.0016968325791855204,0.024030110017371164
LMNB1,4.741797211980718,0.001777634130575307,0.025477707006369428
EBP,1.2838155382301824,0.001777634130575307,0.025477707006369428
TMEM120A,1.3777851584221024,0.001777634130575307,0.025477707006369428
HSPA1L,-2.2759092236778735,0.0018584356819650936,0.026346265199768383
ACER3,1.5282609793177906,0.0018584356819650936,0.026346265199768383
PRPF6,-0.7721760031471016,0.0019392372333548805,0.02692530399536769
DYRK1A,1.631169394222179,0.0019392372333548805,0.02692530399536769
UBA3,1.2159620162218088,0.0019392372333548805,0.02692530399536769
LARP1B,1.409397513581302,0.0019392372333548805,0.02692530399536769
HELZ,1.1094217687847814,0.0020200387847446673,0.0280833815865663
RELB,1.5469975418993769,0.0020200387847446673,0.0280833815865663
CEP350,1.3764266884150556,0.0021008403361344537,0.028662420382165606
OSBPL11,1.4454238752974657,0.0021008403361344537,0.028662420382165606
TRIO,1.59190996377495,0.0021008403361344537,0.028662420382165606
SRSF8,0.7675966814127734,0.0021008403361344537,0.028662420382165606
ISG20L2,1.0702123565118122,0.0021816418875242405,0.029820497973364217
GNA15,2.428809161446569,0.0021816418875242405,0.029820497973364217
VASP,1.3556320161835533,0.0021816418875242405,0.029820497973364217
YIPF6,-0.9869063583790972,0.0022624434389140274,0.030689056166763172
CHD7,1.620370728229595,0.0022624434389140274,0.030689056166763172
IFNGR2,1.6580288542881203,0.0022624434389140274,0.030689056166763172
LRRC8A,1.9399122302800802,0.0023432449903038137,0.031557614360162134
