contrast,log2FC,se_log2,z,p,ci_lo,ci_hi,n_ref,n_alt,n_patients,cpm_ref,cpm_alt,gene,comparison,fdr
AD_NL_vs_Healthy,0.23208479160085818,0.20423972350728903,1.136335222234941,0.25581629503342895,-0.16822506647342836,0.6323946496751447,38,27,65,0.4290326628965312,0.5540616412044561,TNFSF9,Healthy_vs_AD_NL,0.36545185004775566
AD_NL_vs_Healthy,-0.01933153423339463,0.2741370710104136,-0.07051776748814934,0.9437815593424781,-0.5566401934138054,0.5179771249470161,38,27,65,4.830519381517181,5.661309530931323,TPSAB1,Healthy_vs_AD_NL,0.9437815593424781
AD_NL_vs_Healthy,-0.0303677162798745,0.2880497716246033,-0.10542523991114558,0.9160383891074437,-0.594945268664097,0.534209836104348,38,27,65,6.659435469140984,8.929694414767964,TPSB2,Healthy_vs_AD_NL,0.9437815593424781
AD_NL_vs_Healthy,-0.4268042517975819,0.23963485429110568,-1.7810608271495638,0.07490251428542445,-0.896488566208149,0.042880062612985236,38,27,65,11.678950723092619,8.910879603998401,CPA3,Healthy_vs_AD_NL,0.12483752380904076
AD_NL_vs_Healthy,-0.12377314459587137,0.24724425888878587,-0.5006107933593975,0.6166450648169473,-0.6083718920178917,0.36082560282614895,38,27,65,4.1066445427258875,4.359207564668665,MS4A2,Healthy_vs_AD_NL,0.6851611831299413
AD_NL_vs_Healthy,-0.326734706066706,0.31996223637378096,-1.0211664656731971,0.3071755772809982,-0.9538606893593167,0.30039127722590464,38,27,65,2.340128495998411,2.227515458957285,CMA1,Healthy_vs_AD_NL,0.39200514259508057
AD_NL_vs_Healthy,-0.1105321285567832,0.11822644520255565,-0.9349188192828609,0.34983013771204474,-0.34225596115379225,0.1211917040402259,38,27,65,100.76628376107396,92.49251503708717,KIT,Healthy_vs_AD_NL,0.41156486789652325
AD_NL_vs_Healthy,0.39018317544438047,0.3872062102918797,1.0076883197463613,0.3136041140760645,-0.3687409967277037,1.1491073476164648,38,27,65,1.180436263084971,1.3709045544612926,HDC,Healthy_vs_AD_NL,0.39200514259508057
AD_NL_vs_Healthy,-0.7101369674565106,0.3292699471257328,-2.156701434963763,0.031028935117840748,-1.3555060638229468,-0.06476787109007412,38,27,65,591.626344545821,349.54174004847107,COL1A1,Healthy_vs_AD_NL,0.07757233779460186
AD_NL_vs_Healthy,-0.6071616689649073,0.27157485042326435,-2.2357065391681608,0.025371000415168654,-1.1394483757945055,-0.07487496213530911,38,27,65,1036.6583548237222,733.5640469960082,COL1A2,Healthy_vs_AD_NL,0.07248857261476759
